# Raios,IR,IRerr,LR,IRM 
1.000000000000000000e+00,4.501520538330078125e+01,1.812842941284179688e+01,1.508607788085937500e+02,5.028692626953125000e+01
3.000000000000000000e+00,2.644689178466796875e+01,1.222870254516601562e+01,9.841893310546875000e+02,3.785343580979566980e+01
5.000000000000000000e+00,1.400222492218017578e+01,5.305634498596191406e+00,1.895094970703125000e+03,2.596020507812500000e+01
7.000000000000000000e+00,8.120677947998046875e+00,2.608426332473754883e+00,2.602303222656250000e+03,1.858788016183035552e+01
9.000000000000000000e+00,5.135529518127441406e+00,1.464201092720031738e+00,3.202934570312500000e+03,1.374650030177038573e+01
1.100000000000000000e+01,3.386588335037231445e+00,8.638905882835388184e-01,3.678150634765625000e+03,1.053911356666368171e+01
1.300000000000000000e+01,2.391919612884521484e+00,5.532686710357666016e-01,4.063277832031250000e+03,8.395202132295970898e+00
1.500000000000000000e+01,1.788631439208984375e+00,4.028309285640716553e-01,4.406188964843750000e+03,6.778752253605769162e+00
1.700000000000000000e+01,1.413354635238647461e+00,3.040666878223419189e-01,4.693173339843750000e+03,5.634061632465486191e+00
1.900000000000000000e+01,1.147808074951171875e+00,2.387517392635345459e-01,4.953290039062500000e+03,4.771955721640173564e+00
2.100000000000000000e+01,9.725015759468078613e-01,1.810009330511093140e-01,5.193296386718750000e+03,4.102129847329186063e+00
2.300000000000000000e+01,8.460977077484130859e-01,1.426213979721069336e-01,5.428558105468750000e+03,3.559710233094262488e+00
2.500000000000000000e+01,7.505584955215454102e-01,1.110541447997093201e-01,5.649798828125000000e+03,3.133554535843039446e+00
2.700000000000000000e+01,6.732814908027648926e-01,8.221808820962905884e-02,5.859052734375000000e+03,2.791354327953787351e+00
2.900000000000000000e+01,6.091486811637878418e-01,6.400619447231292725e-02,6.063289550781250000e+03,2.507563916782981739e+00
3.100000000000000000e+01,5.591103434562683105e-01,4.993456602096557617e-02,6.265572265625000000e+03,2.266029752486437676e+00
3.300000000000000000e+01,5.171173810958862305e-01,4.164374992251396179e-02,6.464036132812500000e+03,2.061893503289473628e+00
3.500000000000000000e+01,4.797527492046356201e-01,3.496070578694343567e-02,6.657243164062500000e+03,1.889651763855378919e+00
3.700000000000000000e+01,4.493426680564880371e-01,3.072101250290870667e-02,6.849798828125000000e+03,1.739410570879888374e+00
3.900000000000000000e+01,4.255637228488922119e-01,3.002434410154819489e-02,7.042682617187500000e+03,1.608285594242407024e+00
4.100000000000000000e+01,4.022409617900848389e-01,2.939203195273876190e-02,7.232509277343750000e+03,1.494937841534466738e+00
4.300000000000000000e+01,3.821801841259002686e-01,2.710593119263648987e-02,7.420437500000000000e+03,1.395343644227152957e+00
4.500000000000000000e+01,3.634109795093536377e-01,2.766291983425617218e-02,7.607925292968750000e+03,1.306979091731446552e+00
4.700000000000000000e+01,3.468457460403442383e-01,2.683615870773792267e-02,7.799321777343750000e+03,1.226308455557193478e+00
4.900000000000000000e+01,3.294962346553802490e-01,2.582342550158500671e-02,7.986419921875000000e+03,1.155275556469694820e+00
5.100000000000000000e+01,3.131551146507263184e-01,2.513582073152065277e-02,8.170776367187500000e+03,1.091474267591170166e+00
5.300000000000000000e+01,2.996449172496795654e-01,2.565447799861431122e-02,8.352998046875000000e+03,1.033658958900507407e+00
5.500000000000000000e+01,2.847372293472290039e-01,2.638574503362178802e-02,8.536284179687500000e+03,9.805058786684470729e-01
5.700000000000000000e+01,2.711963951587677002e-01,2.744003385305404663e-02,8.712956054687500000e+03,9.324653311951519585e-01
5.900000000000000000e+01,2.568814754486083984e-01,2.585211209952831268e-02,8.893686523437500000e+03,8.879479356467152584e-01
6.100000000000000000e+01,2.424846589565277100e-01,2.471149712800979614e-02,9.129825195312500000e+03,8.521397419556188124e-01
6.300000000000000000e+01,2.315938323736190796e-01,2.457981742918491364e-02,9.321963867187500000e+03,8.157840086800998147e-01
6.500000000000000000e+01,2.204080373048782349e-01,2.459940873086452484e-02,9.489907226562500000e+03,7.801633694970815380e-01
6.700000000000000000e+01,2.082859426736831665e-01,2.386775985360145569e-02,9.652425781250000000e+03,7.470917787345201511e-01
6.900000000000000000e+01,1.984314769506454468e-01,2.569613419473171234e-02,9.811116210937500000e+03,7.162444306422470763e-01
