# #R,Rnorm,kurR,nu
1.000000000000000000e+00,0.000000000000000000e+00,1.919897701838767928e-02,1.016896513557323134e+00
3.000000000000000000e+00,9.900990099009901110e-03,6.281102136715725759e-02,9.570738155806459702e-01
5.000000000000000000e+00,1.980198019801980222e-02,1.569148242256002135e-01,8.981157505408370323e-01
7.000000000000000000e+00,2.970297029702970160e-02,2.530638204168799699e-01,8.429673209364993980e-01
9.000000000000000000e+00,3.960396039603960444e-02,3.735737859603892597e-01,7.916437845503779824e-01
1.100000000000000000e+01,4.950495049504950729e-02,5.611639467738821496e-01,7.450931045530894137e-01
1.300000000000000000e+01,5.940594059405940319e-02,8.206857919050826178e-01,7.039566476585187305e-01
1.500000000000000000e+01,6.930693069306931298e-02,1.227464850159069032e+00,6.678057943076753933e-01
1.700000000000000000e+01,7.920792079207920888e-02,1.812003716005267773e+00,6.373175491217182298e-01
1.900000000000000000e+01,8.910891089108910479e-02,2.670487710652177604e+00,6.113447074073322662e-01
2.100000000000000000e+01,9.900990099009901457e-02,3.830642506185800489e+00,5.902790811954448102e-01
2.300000000000000000e+01,1.089108910891089105e-01,5.210003595425954259e+00,5.728114412725273663e-01
2.500000000000000000e+01,1.188118811881188064e-01,6.604825018712722873e+00,5.589708576247431893e-01
2.700000000000000000e+01,1.287128712871287162e-01,7.434579349016311234e+00,5.476537990373949727e-01
2.900000000000000000e+01,1.386138613861386260e-01,7.475421870515633671e+00,5.386086134003842396e-01
3.100000000000000000e+01,1.485148514851485080e-01,6.456490003607378902e+00,5.310991125424808779e-01
3.300000000000000000e+01,1.584158415841584178e-01,4.941018089675103475e+00,5.247373544221033415e-01
3.500000000000000000e+01,1.683168316831683275e-01,3.162922249982927703e+00,5.191522761516765838e-01
3.700000000000000000e+01,1.782178217821782096e-01,1.669424431864246827e+00,5.139524805987873979e-01
3.900000000000000000e+01,1.881188118811881194e-01,4.626259162010282755e-01,5.090366116424600573e-01
4.100000000000000000e+01,1.980198019801980291e-01,-2.909085925358788627e-01,5.040945118156346938e-01
4.300000000000000000e+01,2.079207920792079112e-01,-7.416432240929198283e-01,4.991738079025956343e-01
4.500000000000000000e+01,2.178217821782178210e-01,-9.017372877647644724e-01,4.940774925541819851e-01
4.700000000000000000e+01,2.277227722772277307e-01,-8.941258151485129702e-01,4.889017042473745578e-01
4.900000000000000000e+01,2.376237623762376128e-01,-7.755248741468753204e-01,4.835549546544751220e-01
